id,name,category,type,rarity,origin,value,image_url
114,Tasmanian Tiger,petsneons,Pet,Common,Fossil Egg,0.13,https://adoptmetradingvalues.com/images/114.png
115,Chocolate Labrador,petsneons,Pet,Uncommon,Retired Egg,0.02,https://adoptmetradingvalues.com/images/115.png
116,Fennec Fox,petsneons,Pet,Uncommon,Retired Egg,0.04,https://adoptmetradingvalues.com/images/116.png
1168,Diamond Albatross,petsneons,Pet,Legendary,Golden Clam,3.5,https://adoptmetradingvalues.com/images/1168.png
1169,Albatross,petsneons,Pet,Ultra-Rare,Golden Clam,0.35,https://adoptmetradingvalues.com/images/1169.png
117,Puma,petsneons,Pet,Uncommon,Retired Egg,0.02,https://adoptmetradingvalues.com/images/117.png
1170,Ribbon Seal,petsneons,Pet,Ultra-Rare,Desert Weather Map,0.18,https://adoptmetradingvalues.com/images/1170.png
1171,Golden Albatross,petsneons,Pet,Legendary,Golden Clam,1.1,https://adoptmetradingvalues.com/images/1171.png
1172,Winged Horse,petsneons,Pet,Legendary,Robux,1.5,https://adoptmetradingvalues.com/images/1172.png
1173,Ibex,petsneons,Pet,Rare,May 2022,0.23,https://adoptmetradingvalues.com/images/1173.png
1174,Goat,petsneons,Pet,Ultra-Rare,Pride Event 2022 (Robux),6.2,https://adoptmetradingvalues.com/images/1174.png
118,Snow Cat,petsneons,Pet,Uncommon,Retired Egg,0.02,https://adoptmetradingvalues.com/images/118.png
119,Buffalo,petsneons,Pet,Common,Retired Egg,0.01,https://adoptmetradingvalues.com/images/119.png
12,Diamond Griffin,petsneons,Pet,Legendary,Diamond Egg,1.0,https://adoptmetradingvalues.com/images/12.png
120,Cat,petsneons,Pet,Common,Retired Egg,0.01,https://adoptmetradingvalues.com/images/120.png
1200,Zodiac Minion Egg,petsneons,Pet,Legendary,Minion Event 2022,0.3,https://adoptmetradingvalues.com/images/1200.png
1201,Zodiac Minion Chick,petsneons,Pet,Legendary,Zodiac Minion Egg,0.25,https://adoptmetradingvalues.com/images/1201.png
1202,Chick,petsneons,Pet,Common,Easter 2020 Egg,0.65,https://adoptmetradingvalues.com/images/1202.png
1203,Easter 2020 Egg,petsneons,Pet,Common,Easter 2020,2.15,https://adoptmetradingvalues.com/images/1203.png
1204,Space Whale,petsneons,Pet,Ultra-Rare,Spacehome Update 2022,0.65,https://adoptmetradingvalues.com/images/1204.png
1205,Capricorn,petsneons,Pet,Legendary,Spacehome Update 2022 (Robux),2.0,https://adoptmetradingvalues.com/images/1205.png
1207,Irish Water Spaniel,petsneons,Pet,Ultra-Rare,UGC Rewards,8.5,https://adoptmetradingvalues.com/images/1207.png
1208,Diamond King Penguin,petsneons,Pet,Legendary,Golden Goldfish,2.75,https://adoptmetradingvalues.com/images/1208.png
1209,Golden King Penguin,petsneons,Pet,Legendary,Ice Cream Shop Update,1.2,https://adoptmetradingvalues.com/images/1209.png
121,Dog,petsneons,Pet,Common,Retired Egg,0.01,https://adoptmetradingvalues.com/images/121.png
1210,King Penguin,petsneons,Pet,Ultra-Rare,Ice Cream Shop Update,0.35,https://adoptmetradingvalues.com/images/1210.png
1215,Swordfish,petsneons,Pet,Ultra-Rare,Regular Egg,0.13,https://adoptmetradingvalues.com/images/1215.png
1216,Dragonfly,petsneons,Pet,Legendary,Regular Egg,0.6,https://adoptmetradingvalues.com/images/1216.png
1217,Orangutan,petsneons,Pet,Rare,Regular Egg,0.08,https://adoptmetradingvalues.com/images/1217.png
1218,Ant,petsneons,Pet,Common,Regular Egg,0.01,https://adoptmetradingvalues.com/images/1218.png
1219,Alicorn,petsneons,Pet,Legendary,Regular Egg,1.15,https://adoptmetradingvalues.com/images/1219.png
122,Otter,petsneons,Pet,Common,Retired Egg,0.01,https://adoptmetradingvalues.com/images/122.png
1220,Retired Egg,petsneons,Pet,Rare,VIP Room,0.13,https://adoptmetradingvalues.com/images/1220.png
1221,Donkey,petsneons,Pet,Uncommon,Regular Egg,0.04,https://adoptmetradingvalues.com/images/1221.png
1222,Camel,petsneons,Pet,Uncommon,Regular Egg,0.04,https://adoptmetradingvalues.com/images/1222.png
1223,Mouse,petsneons,Pet,Common,Regular Egg,0.01,https://adoptmetradingvalues.com/images/1223.png
1224,Zebra,petsneons,Pet,Rare,Regular Egg,0.08,https://adoptmetradingvalues.com/images/1224.png
1225,Corgi,petsneons,Pet,Ultra-Rare,Regular Egg,0.13,https://adoptmetradingvalues.com/images/1225.png
1226,Poodle,petsneons,Pet,Uncommon,Regular Egg,0.06,https://adoptmetradingvalues.com/images/1226.png
1227,Ancient Dragon,petsneons,Pet,Legendary,Regular Egg,1.05,https://adoptmetradingvalues.com/images/1227.png
1228,Robot,petsneons,Pet,Ultra-Rare,Regular Egg,0.13,https://adoptmetradingvalues.com/images/1228.png
1229,Parakeet,petsneons,Pet,Rare,Regular Egg,0.08,https://adoptmetradingvalues.com/images/1229.png
123,Pet Egg,petsneons,Pet,Rare,Nursery,0.08,https://adoptmetradingvalues.com/images/123.png
1231,Tan Chow-Chow,petsneons,Pet,Ultra-Rare,Golden Bone,0.3,https://adoptmetradingvalues.com/images/1231.png
1232,Chocolate Chow-Chow,petsneons,Pet,Legendary,Golden Bone,1.0,https://adoptmetradingvalues.com/images/1232.png
1233,Black Chow-Chow,petsneons,Pet,Legendary,Golden Bone,0.8,https://adoptmetradingvalues.com/images/1233.png
1234,Golden Chow-Chow,petsneons,Pet,Legendary,Golden Bone,4.0,https://adoptmetradingvalues.com/images/1234.png
1236,Yellow Butterfly,petsneons,Pet,Rare,Leaf,0.15,https://adoptmetradingvalues.com/images/1236.png
1237,Scarlet Butterfly,petsneons,Pet,Ultra-Rare,Leaf,0.25,https://adoptmetradingvalues.com/images/1237.png
1238,Purple Butterfly,petsneons,Pet,Ultra-Rare,Leaf,6.2,https://adoptmetradingvalues.com/images/1238.png
1239,Orange Butterfly,petsneons,Pet,Ultra-Rare,Golden Leaf,1.15,https://adoptmetradingvalues.com/images/1239.png
124,Blue Egg,petsneons,Pet,Rare,Easter 2019,43.0,https://adoptmetradingvalues.com/images/124.png
1240,Green Butterfly,petsneons,Pet,Legendary,Golden Leaf,1.85,https://adoptmetradingvalues.com/images/1240.png
1241,Diamond Butterfly,petsneons,Pet,Legendary,Golden Leaf,52.0,https://adoptmetradingvalues.com/images/1241.png
1245,Brown-Chested Pheasant,petsneons,Pet,Ultra-Rare,Golden Wheat,0.35,https://adoptmetradingvalues.com/images/1245.png
1246,Green-Chested Pheasant,petsneons,Pet,Legendary,Golden Wheat,1.1,https://adoptmetradingvalues.com/images/1246.png
1247,Black-Chested Pheasant,petsneons,Pet,Legendary,Golden Wheat,10.0,https://adoptmetradingvalues.com/images/1247.png
1248,Badger,petsneons,Pet,Ultra-Rare,Fall Weather Update,0.13,https://adoptmetradingvalues.com/images/1248.png
125,Pink Egg,petsneons,Pet,Rare,Special,28.0,https://adoptmetradingvalues.com/images/125.png
126,Farm Egg,petsneons,Pet,Legendary,Nursery,55.0,https://adoptmetradingvalues.com/images/126.png
1267,2022 Uplift Butterfly,petsneons,Pet,Uncommon,Adopt Me 5th Birthday,0.25,https://adoptmetradingvalues.com/images/1267.png
127,Royal Egg,petsneons,Pet,Legendary,Nursery,0.15,https://adoptmetradingvalues.com/images/127.png
1275,Royal Palace Spaniel,petsneons,Pet,Ultra-Rare,Royal Tea Party 2022 (Robux),1.2,https://adoptmetradingvalues.com/images/1275.png
1276,Royal Corgi,petsneons,Pet,Ultra-Rare,Royal Tea Party 2022,1.7,https://adoptmetradingvalues.com/images/1276.png
128,Aussie Egg,petsneons,Pet,Legendary,Nursery,3.25,https://adoptmetradingvalues.com/images/128.png
1281,Pomeranian,petsneons,Pet,Ultra-Rare,Star Rewards Refresh,0.5,https://adoptmetradingvalues.com/images/1281.png
1282,Orca,petsneons,Pet,Ultra-Rare,Star Rewards Refresh,0.8,https://adoptmetradingvalues.com/images/1282.png
129,Jungle Egg,petsneons,Pet,Legendary,Nursery,47.0,https://adoptmetradingvalues.com/images/129.png
1293,Dugong,petsneons,Pet,Common,Japan Egg,0.08,https://adoptmetradingvalues.com/images/1293.png
1294,Sado Mole,petsneons,Pet,Common,Japan Egg,0.08,https://adoptmetradingvalues.com/images/1294.png
1295,Rhino Beetle,petsneons,Pet,Uncommon,Japan Egg,0.1,https://adoptmetradingvalues.com/images/1295.png
1296,Tanuki,petsneons,Pet,Uncommon,Japan Egg,0.13,https://adoptmetradingvalues.com/images/1296.png
1297,Ibis,petsneons,Pet,Rare,Japan Egg,0.1,https://adoptmetradingvalues.com/images/1297.png
1298,Koi Carp,petsneons,Pet,Rare,Japan Egg,0.2,https://adoptmetradingvalues.com/images/1298.png
1299,Leopard Cat,petsneons,Pet,Rare,Japan Egg,0.35,https://adoptmetradingvalues.com/images/1299.png
13,Hedgehog,petsneons,Pet,Ultra-Rare,Christmas 2019 (Gingerbread),45.0,https://adoptmetradingvalues.com/images/13.png
130,Fossil Egg,petsneons,Pet,Legendary,Nursery,1.15,https://adoptmetradingvalues.com/images/130.png
1300,Red Crowned Crane,petsneons,Pet,Ultra-Rare,Japan Egg,0.2,https://adoptmetradingvalues.com/images/1300.png
1301,Spider Crab,petsneons,Pet,Ultra-Rare,Japan Egg,0.2,https://adoptmetradingvalues.com/images/1301.png
1302,Trapdoor Snail,petsneons,Pet,Ultra-Rare,Japan Egg,0.18,https://adoptmetradingvalues.com/images/1302.png
1303,Baku,petsneons,Pet,Legendary,Japan Egg,0.9,https://adoptmetradingvalues.com/images/1303.png
1304,Maneki-Neko,petsneons,Pet,Legendary,Japan Egg,1.0,https://adoptmetradingvalues.com/images/1304.png
1305,Japan Egg,petsneons,Pet,Legendary,Nursery,0.4,https://adoptmetradingvalues.com/images/1305.png
131,Golden Egg,petsneons,Pet,Legendary,Star Rewards,0.8,https://adoptmetradingvalues.com/images/131.png
132,Safari Egg,petsneons,Pet,Legendary,Nursery,155.0,https://adoptmetradingvalues.com/images/132.png
133,Cracked Egg,petsneons,Pet,Common,Nursery,0.04,https://adoptmetradingvalues.com/images/133.png
134,Diamond Egg,petsneons,Pet,Legendary,Star Rewards,1.25,https://adoptmetradingvalues.com/images/134.png
135,Christmas Egg,petsneons,Pet,Legendary,Christmas 2019,13.0,https://adoptmetradingvalues.com/images/135.png
136,Peacock,petsneons,Pet,Legendary,Robux,1.0,https://adoptmetradingvalues.com/images/136.png
1366,Slug,petsneons,Pet,Uncommon,Halloween 2022,0.13,https://adoptmetradingvalues.com/images/1366.png
1367,Basilisk,petsneons,Pet,Rare,Halloween 2022,0.3,https://adoptmetradingvalues.com/images/1367.png
1368,Evil Basilisk,petsneons,Pet,Ultra-Rare,Halloween 2022,0.6,https://adoptmetradingvalues.com/images/1368.png
1369,Chimera,petsneons,Pet,Legendary,Halloween 2022,1.15,https://adoptmetradingvalues.com/images/1369.png
137,Clownfish,petsneons,Pet,Ultra-Rare,Ocean Egg,0.23,https://adoptmetradingvalues.com/images/137.png
1370,Lava Dragon,petsneons,Pet,Legendary,Halloween 2022 (Robux),4.25,https://adoptmetradingvalues.com/images/1370.png
138,Stingray,petsneons,Pet,Common,Ocean Egg,0.1,https://adoptmetradingvalues.com/images/138.png
139,Shark,petsneons,Pet,Legendary,Ocean Egg,1.5,https://adoptmetradingvalues.com/images/139.png
1391,Chickatrice,petsneons,Pet,Uncommon,Halloween 2022,0.23,https://adoptmetradingvalues.com/images/1391.png
1392,Evil Chickatrice,petsneons,Pet,Ultra-Rare,Halloween 2022,0.6,https://adoptmetradingvalues.com/images/1392.png
1393,Ghost Wolf,petsneons,Pet,Rare,Halloween 2022 (Wolf Box),0.15,https://adoptmetradingvalues.com/images/1393.png
1394,Zombie Wolf,petsneons,Pet,Ultra-Rare,Halloween 2022 (Wolf Box),1.1,https://adoptmetradingvalues.com/images/1394.png
1395,Lava Wolf,petsneons,Pet,Legendary,Halloween 2022 (Wolf Box),1.25,https://adoptmetradingvalues.com/images/1395.png
1397,Mule,petsneons,Pet,Rare,Halloween 2022,2.0,https://adoptmetradingvalues.com/images/1397.png
1398,Undead Jousting Horse,petsneons,Pet,Legendary,Halloween 2022 (Robux),14.5,https://adoptmetradingvalues.com/images/1398.png
1399,Jousting Horse,petsneons,Pet,Legendary,Halloween 2022,1.4,https://adoptmetradingvalues.com/images/1399.png
14,Monkey King,petsneons,Pet,Legendary,Monkey Fairground,19.5,https://adoptmetradingvalues.com/images/14.png
140,Narwhal,petsneons,Pet,Rare,Ocean Egg,0.15,https://adoptmetradingvalues.com/images/140.png
141,Octopus,petsneons,Pet,Legendary,Ocean Egg,1.4,https://adoptmetradingvalues.com/images/141.png
1419,Therapy Dog,petsneons,Pet,Uncommon,Great Ormond Charity Update,0.18,https://adoptmetradingvalues.com/images/1419.png
142,Dolphin,petsneons,Pet,Uncommon,Ocean Egg,0.15,https://adoptmetradingvalues.com/images/142.png
1426,Persian Cat,petsneons,Pet,Ultra-Rare,Puss in Boots,0.1,https://adoptmetradingvalues.com/images/1426.png
1427,Strawberry Shortcake Bat Dragon,petsneons,Pet,Legendary,Winter 2022 (Robux),17.5,https://adoptmetradingvalues.com/images/1427.png
143,Seahorse,petsneons,Pet,Rare,Ocean Egg,0.18,https://adoptmetradingvalues.com/images/143.png
1437,Irish Elk,petsneons,Pet,Rare,Winter 2022,0.45,https://adoptmetradingvalues.com/images/1437.png
1438,Ermine,petsneons,Pet,Uncommon,Winter 2022,0.15,https://adoptmetradingvalues.com/images/1438.png
1439,Ice Moth Dragon,petsneons,Pet,Legendary,Winter 2022,1.15,https://adoptmetradingvalues.com/images/1439.png
144,Crab,petsneons,Pet,Uncommon,Ocean Egg,0.13,https://adoptmetradingvalues.com/images/144.png
1446,Shetland Pony Dark Brown,petsneons,Pet,Rare,Winter 2022 (Pony Box),0.1,https://adoptmetradingvalues.com/images/1446.png
1447,Shetland Pony White,petsneons,Pet,Ultra-Rare,Winter 2022 (Pony Box),0.45,https://adoptmetradingvalues.com/images/1447.png
1448,Shetland Pony Light Brown,petsneons,Pet,Legendary,Winter 2022 (Pony Box),1.0,https://adoptmetradingvalues.com/images/1448.png
145,Ocean Egg,petsneons,Pet,Legendary,Nursery,0.9,https://adoptmetradingvalues.com/images/145.png
1454,Snowball Pet,petsneons,Pet,Ultra-Rare,Winter 2022 (Robux),1.1,https://adoptmetradingvalues.com/images/1454.png
1455,Steppe Lion,petsneons,Pet,Rare,Winter 2022,0.3,https://adoptmetradingvalues.com/images/1455.png
1468,Ram,petsneons,Pet,Ultra-Rare,Winter 2022,1.5,https://adoptmetradingvalues.com/images/1468.png
1469,Ice Wolf,petsneons,Pet,Ultra-Rare,Winter 2022 (Robux),1.85,https://adoptmetradingvalues.com/images/1469.png
1473,Gingerbread Reindeer,petsneons,Pet,Ultra-Rare,Winter 2022,0.3,https://adoptmetradingvalues.com/images/1473.png
1474,Wooly Rhino,petsneons,Pet,Ultra-Rare,Winter 2022,0.9,https://adoptmetradingvalues.com/images/1474.png
1476,Nessie,petsneons,Pet,Legendary,Scottish Pets Update 2023,5.7,https://adoptmetradingvalues.com/images/1476.png
1477,Highland Cow,petsneons,Pet,Ultra-Rare,Scottish Pets Update 2023,0.45,https://adoptmetradingvalues.com/images/1477.png
1478,Bloodhound,petsneons,Pet,Rare,UGC Pet Refresh January 2023,0.18,https://adoptmetradingvalues.com/images/1478.png
1479,Glacier Moth,petsneons,Pet,Ultra-Rare,UGC Pet Refresh January 2023,5.2,https://adoptmetradingvalues.com/images/1479.png
1480,Winged Tiger,petsneons,Pet,Legendary,Lunar New Year 2023 (Robux),5.7,https://adoptmetradingvalues.com/images/1480.png
1482,Black Moon Bear,petsneons,Pet,Rare,Lunar New Year 2023 (Moon Bear Box),0.13,https://adoptmetradingvalues.com/images/1482.png
1483,Water Moon Bear,petsneons,Pet,Ultra-Rare,Lunar New Year 2023 (Moon Bear Box),0.3,https://adoptmetradingvalues.com/images/1483.png
1484,Lunar Moon Bear,petsneons,Pet,Legendary,Lunar New Year 2023 (Moon Bear Box),0.7,https://adoptmetradingvalues.com/images/1484.png
1485,Amami Rabbit,petsneons,Pet,Uncommon,Lunar New Year 2023,0.2,https://adoptmetradingvalues.com/images/1485.png
1486,Moon Rabbit,petsneons,Pet,Rare,Lunar New Year 2023,0.3,https://adoptmetradingvalues.com/images/1486.png
1487,Water Rabbit,petsneons,Pet,Ultra-Rare,Lunar New Year 2023,0.5,https://adoptmetradingvalues.com/images/1487.png
15,Albino Monkey,petsneons,Pet,Legendary,Monkey Fairground,15.5,https://adoptmetradingvalues.com/images/15.png
1500,Frogspawn,petsneons,Pet,Uncommon,Meme Pets Update 2023,0.13,https://adoptmetradingvalues.com/images/1500.png
1501,Feesh,petsneons,Pet,Rare,Meme Pets Update 2023,0.3,https://adoptmetradingvalues.com/images/1501.png
1502,Sheeeeep,petsneons,Pet,Ultra-Rare,Meme Pets Update 2023 (Robux),4.75,https://adoptmetradingvalues.com/images/1502.png
1504,Green Amazon,petsneons,Pet,Ultra-Rare,Golden Plantain,0.45,https://adoptmetradingvalues.com/images/1504.png
1505,White Amazon,petsneons,Pet,Legendary,Golden Plantain,1.25,https://adoptmetradingvalues.com/images/1505.png
1506,Diamond Amazon,petsneons,Pet,Legendary,Golden Plantain,8.0,https://adoptmetradingvalues.com/images/1506.png
1507,Ocelot,petsneons,Pet,Rare,Rain Weather Update,0.13,https://adoptmetradingvalues.com/images/1507.png
1526,Firefly,petsneons,Pet,Legendary,Camping Shop Refresh 2023 (Robux),1.35,https://adoptmetradingvalues.com/images/1526.png
1527,Possum,petsneons,Pet,Uncommon,Camping Shop Refresh 2023,0.15,https://adoptmetradingvalues.com/images/1527.png
1538,Frost Unicorn,petsneons,Pet,Legendary,Mountain House Update (Robux),9.5,https://adoptmetradingvalues.com/images/1538.png
1539,Southeast Asia Egg,petsneons,Pet,Legendary,Nursery,0.35,https://adoptmetradingvalues.com/images/1539.png
1540,Bali Starling,petsneons,Pet,Common,Southeast Asia Egg,0.06,https://adoptmetradingvalues.com/images/1540.png
1541,Malaysian Tapir,petsneons,Pet,Common,Southeast Asia Egg,0.06,https://adoptmetradingvalues.com/images/1541.png
1542,Maleo Bird,petsneons,Pet,Common,Southeast Asia Egg,0.06,https://adoptmetradingvalues.com/images/1542.png
1543,Banded Palm Civet,petsneons,Pet,Uncommon,Southeast Asia Egg,0.1,https://adoptmetradingvalues.com/images/1543.png
1544,Yellow-lipped Sea Krait,petsneons,Pet,Uncommon,Southeast Asia Egg,0.08,https://adoptmetradingvalues.com/images/1544.png
1545,Gecko,petsneons,Pet,Rare,Southeast Asia Egg,0.2,https://adoptmetradingvalues.com/images/1545.png
1546,Tarsier,petsneons,Pet,Rare,Southeast Asia Egg,0.2,https://adoptmetradingvalues.com/images/1546.png
1547,Black Macaque,petsneons,Pet,Ultra-Rare,Southeast Asia Egg,0.2,https://adoptmetradingvalues.com/images/1547.png
1548,Binturong,petsneons,Pet,Ultra-Rare,Southeast Asia Egg,1.0,https://adoptmetradingvalues.com/images/1548.png
1549,Komodo Dragon,petsneons,Pet,Ultra-Rare,Southeast Asia Egg,0.2,https://adoptmetradingvalues.com/images/1549.png
1550,Tree Kangaroo,petsneons,Pet,Legendary,Southeast Asia Egg,1.25,https://adoptmetradingvalues.com/images/1550.png
1551,Naga Dragon,petsneons,Pet,Legendary,Southeast Asia Egg,1.25,https://adoptmetradingvalues.com/images/1551.png
1552,Goldfish,petsneons,Pet,Rare,Pool Store 2023 Update,0.2,https://adoptmetradingvalues.com/images/1552.png
1553,White Sand Dollar,petsneons,Pet,Ultra-Rare,Pool Store 2023 Update (Robux),1.25,https://adoptmetradingvalues.com/images/1553.png
1554,Red Sand Dollar,petsneons,Pet,Ultra-Rare,Pool Store 2023 Update (Robux),1.0,https://adoptmetradingvalues.com/images/1554.png
1564,Gorilla,petsneons,Pet,Rare,Gorilla Box,0.06,https://adoptmetradingvalues.com/images/1564.png
1565,Chef Gorilla,petsneons,Pet,Ultra-Rare,Gorilla Box,1.4,https://adoptmetradingvalues.com/images/1565.png
1566,Astronaut Gorilla,petsneons,Pet,Legendary,Gorilla Box,1.5,https://adoptmetradingvalues.com/images/1566.png
1567,Karate Gorilla,petsneons,Pet,Ultra-Rare,Gorilla Box,1.25,https://adoptmetradingvalues.com/images/1567.png
1568,Albino Gorilla,petsneons,Pet,Legendary,Premium Gorilla Box,2.75,https://adoptmetradingvalues.com/images/1568.png
1569,Emperor Gorilla,petsneons,Pet,Legendary,Premium Gorilla Box,5.7,https://adoptmetradingvalues.com/images/1569.png
1586,Wood Pigeon,petsneons,Pet,Ultra-Rare,Spring Fest 2023,2.15,https://adoptmetradingvalues.com/images/1586.png
1587,Hare,petsneons,Pet,Rare,Spring Fest 2023,3.25,https://adoptmetradingvalues.com/images/1587.png
1588,Border Collie,petsneons,Pet,Rare,Spring Fest 2023 (Robux),7.4,https://adoptmetradingvalues.com/images/1588.png
16,Turtle,petsneons,Pet,Legendary,Aussie Egg,21.0,https://adoptmetradingvalues.com/images/16.png
1602,Field Mouse,petsneons,Pet,Legendary,Spring Fest 2023,4.0,https://adoptmetradingvalues.com/images/1602.png
1603,Goose,petsneons,Pet,Rare,Spring Fest 2023 (Robux),12.5,https://adoptmetradingvalues.com/images/1603.png
1604,Tio De Nadal,petsneons,Pet,Legendary,April Fools Day 2023 (Robux),5.7,https://adoptmetradingvalues.com/images/1604.png
1605,Fool Egg,petsneons,Pet,Legendary,April Fools Day 2023,0.28,https://adoptmetradingvalues.com/images/1605.png
1606,Pudding Cat,petsneons,Pet,Rare,Fool Egg,0.3,https://adoptmetradingvalues.com/images/1606.png
1607,Sprout Snail,petsneons,Pet,Ultra-Rare,Fool Egg,0.45,https://adoptmetradingvalues.com/images/1607.png
1608,Yule Log Dog,petsneons,Pet,Legendary,Fool Egg,1.5,https://adoptmetradingvalues.com/images/1608.png
1614,Happy Duckling,petsneons,Pet,Rare,Duckling Box,0.4,https://adoptmetradingvalues.com/images/1614.png
1616,Flower Power Duckling,petsneons,Pet,Ultra-Rare,Duckling Box,0.45,https://adoptmetradingvalues.com/images/1616.png
1617,Sunrise Duckling,petsneons,Pet,Legendary,Duckling Box,1.0,https://adoptmetradingvalues.com/images/1617.png
1683,Grinmoire,petsneons,Pet,Ultra-Rare,Sky Castle Refresh 2023,0.45,https://adoptmetradingvalues.com/images/1683.png
1684,Cuddly Candle,petsneons,Pet,Legendary,Sky Castle Refresh 2023 (Robux),1.3,https://adoptmetradingvalues.com/images/1684.png
17,Flamingo,petsneons,Pet,Ultra-Rare,Safari Egg,17.5,https://adoptmetradingvalues.com/images/17.png
1703,Caelum Cervi,petsneons,Pet,Legendary,Pride Update 2023 (Robux),4.25,https://adoptmetradingvalues.com/images/1703.png
1725,Danger Egg,petsneons,Pet,Legendary,Nursery,0.3,https://adoptmetradingvalues.com/images/1725.png
1726,Liger,petsneons,Pet,Common,Danger Egg,0.1,https://adoptmetradingvalues.com/images/1726.png
1727,Mosquito,petsneons,Pet,Common,Danger Egg,0.05,https://adoptmetradingvalues.com/images/1727.png
